MY	2028.0159668728734	54.0
DA	1196.3631468541055	45.0
MY	1854.9376558865658	55.0
DA	1045.6609830098298	47.0
MY	1771.2061903470262	51.0
DA	1102.277257620403	45.0
MY	1787.614064505268	52.0
DA	1117.1486060219079	43.0
MY	1769.5012976960945	53.0
DA	817.4865499056476	44.0
MY	1619.95417020614	49.0
DA	1118.281712230627	42.0
MY	1903.2334890261718	57.0
DA	1020.8384450647137	44.0
MY	1943.3517446192216	53.0
DA	735.8425390570269	43.0
MY	1570.336059615424	49.0
DA	1103.2992875724303	45.0
MY	1682.1714516963843	51.0
DA	706.0610883063991	44.0
MY	1759.960268522152	50.0
DA	1045.4214623831224	44.0
MY	1647.4537914981615	50.0
DA	549.9055924473939	45.0
MY	1380.89923989479	47.0
DA	1085.147835237454	45.0
MY	2050.8646008946494	49.0
DA	943.5337974355832	46.0
MY	1540.6358470632263	49.0
DA	1309.9183331020224	45.0
MY	1781.2928376421787	51.0
DA	1325.658580805953	45.0
MY	1837.8541282093872	54.0
DA	1084.3696759617333	45.0
MY	1959.901967792353	54.0
DA	914.8679184615407	43.0
MY	1786.3510432549415	50.0
DA	1085.2409957086409	43.0
MY	2162.069030665013	56.0
DA	1064.3971200318765	43.0
MY	1969.122841305056	55.0
DA	1343.15262757119	43.0
MY	2263.978576080304	56.0
DA	844.3606037479638	48.0
MY	1926.2971303659797	54.0
DA	789.7030826822736	43.0
MY	1506.2446338838563	48.0
DA	1041.5255755173896	42.0
MY	1817.828962555257	53.0
DA	984.2810420240692	44.0
MY	1739.5279599608386	50.0
DA	1184.9226597496654	46.0
MY	2060.519908775458	56.0
DA	1123.4027134060022	44.0
MY	1827.4387712931928	53.0
DA	941.9325172205545	43.0
MY	1746.656139550069	51.0
DA	596.3255856655104	46.0
MY	2013.8886136758904	57.0
DA	1328.3132909105932	50.0
MY	1883.744220899788	50.0
DA	1193.5996556706527	44.0
MY	1868.290638989986	51.0
DA	1276.7242024211382	44.0
MY	1440.732559796797	50.0
DA	1016.4106079050865	47.0
MY	2008.7757042953208	54.0
DA	1011.9774184288835	43.0
MY	1949.4819895354378	54.0
DA	1301.8071778614149	45.0
MY	1932.927310817061	51.0
DA	1009.5287301023816	45.0
MY	2001.105738039104	54.0
DA	1378.9831754940408	43.0
MY	1959.2580759107022	51.0
DA	1165.2009578164698	45.0
MY	1772.7744285512326	53.0
DA	1456.9098693339506	46.0
MY	1742.4907852116485	52.0
DA	916.4809753423717	46.0
MY	1851.0224908431203	54.0
DA	697.7900897070181	43.0
MY	1731.053574778147	51.0
DA	825.9930194601466	46.0
MY	1733.9588966036226	48.0
DA	833.0040664743406	43.0
MY	1751.5975081905758	51.0
DA	739.6676577514622	46.0
MY	1652.5287800584329	54.0
DA	1227.0130046982026	45.0
MY	1725.6817432813068	55.0
DA	1216.2657193277387	46.0
MY	1635.1937977576936	52.0
DA	1164.7904979692853	43.0
MY	1982.8821530890887	50.0
DA	1160.6985739669294	44.0
MY	2172.350341780163	55.0
DA	885.0611159797289	46.0
MY	1715.332153079804	51.0
DA	740.0936059031825	45.0
MY	2096.276663140107	58.0
DA	905.8291006828649	46.0
MY	2212.0054854961795	56.0
DA	1168.9650686190698	45.0
MY	1936.9927243384682	56.0
DA	1033.156903989744	47.0
MY	1832.35188296711	51.0
DA	705.7777848115741	40.0
MY	1643.205973228065	53.0
DA	1055.410508013852	43.0
MY	1420.801628439976	49.0
DA	1139.5321902336161	45.0
MY	1854.7897937896514	53.0
DA	1255.521041390799	47.0
MY	1628.240196046943	51.0
DA	1267.507679751989	43.0
MY	1792.2607438356704	50.0
DA	1220.6258246678592	45.0
